,Year,Runtime (Minutes),Rating,Votes,Metascore,Revenue (Millions),imdb_avg_cast_pts,yga_avg_cast_rank,imdb_avg_director_pts,yga_avg_director_rank,genre_avg_rank,revenue_groups
767,2010,114,6.6,101301,39.0,53.36,0.0,733.0,0,0,6.0,3
768,2007,100,7.0,221858,78.0,28.64,19758.5,780.0,0,0,7.333333333333333,2
769,2013,98,6.9,193579,59.0,66.36,11215.0,994.3333333333334,4600,0,9.666666666666666,3
770,2013,98,7.3,160592,78.0,33.4,30607.25,739.25,25099,33,3.0,2
771,2013,110,5.8,152145,41.0,122.51,9864.5,568.3333333333334,0,0,2.6666666666666665,4
772,2012,99,5.8,159230,37.0,83.64,43779.25,740.75,0,0,3.0,3
773,2016,120,6.9,8365,68.0,1.91,0.0,0.0,0,0,2.0,1
774,2013,125,7.5,125693,65.0,83.3,52960.333333333336,214.33333333333334,5924,0,6.666666666666667,3
775,2014,119,6.3,184564,42.0,23.01,90393.25,658.75,0,0,8.666666666666666,2
776,2011,96,6.9,173919,63.0,143.62,36152.0,373.3333333333333,0,0,4.333333333333333,4
777,2015,101,6.1,16361,43.0,0.03,9525.5,1059.5,0,0,6.333333333333333,1
778,2006,143,7.5,253417,69.0,34.3,75400.33333333333,256.5,0,0,3.0,2
779,2011,139,6.8,143517,85.0,13.3,80074.0,408.0,7751,0,4.5,1
780,2012,101,6.5,82874,39.0,60.44,8547.0,520.0,689,0,7.0,3
781,2010,88,5.5,75262,53.0,25.0,15437.333333333334,618.0,0,0,8.333333333333334,2
782,2011,100,7.7,281625,72.0,34.96,28164.0,676.75,4600,0,6.0,2
783,2012,134,6.2,108156,0.0,67.52,979.0,573.0,0,42,7.5,3
784,2011,127,7.1,264480,56.0,85.46,29945.0,642.6666666666666,0,0,5.0,3
785,2008,145,5.5,102547,53.0,152.64,4156.5,643.5,0,0,6.0,4
786,2008,92,7.1,187077,46.0,42.72,14520.0,72.0,3807,0,9.333333333333334,2
787,2015,123,7.1,61274,0.0,34.53,39628.5,400.3333333333333,0,0,10.666666666666666,2
788,2006,117,7.9,93036,64.0,2.28,0.0,0.0,1465,0,2.6666666666666665,1
789,2009,96,6.5,172558,28.0,88.92,6962.0,516.0,2237,0,7.5,3
790,2009,89,5.5,83976,24.0,58.72,22183.333333333332,184.66666666666666,1545,0,7.5,3
791,2015,101,6.5,27730,64.0,0.81,1211.0,1021.0,0,0,6.0,1
792,2006,105,5.6,118905,58.0,34.01,73401.0,297.0,2244,0,4.0,2
793,2013,98,6.8,55243,59.0,3.45,11535.666666666666,497.0,0,0,7.5,1
794,2014,102,7.9,237565,76.0,177.0,29225.0,733.3333333333334,0,0,3.6666666666666665,4
795,2014,117,6.2,190833,52.0,58.61,52675.333333333336,699.3333333333334,1529,0,5.333333333333333,3
796,2015,95,6.7,12361,63.0,14.44,31640.0,43.0,1390,0,6.0,1
797,2007,122,6.9,269581,62.0,117.14,120425.33333333333,58.333333333333336,23802,40,8.0,4
798,2006,95,6.5,64351,69.0,7.77,23590.0,980.0,0,0,7.666666666666667,1
